Номер,Розділ,Висновок
1,Історія ДДПУ,"Дрогобицький державний педагогічний університет імені Івана Франка має 85-річну історію, розпочавши як учительський інститут у 1940 році та здобувши статус університету у 1998 році"
2,Аналіз сайту,"Офіційний сайт dspu.edu.ua використовує безпечне HTTPS-з'єднання з SSL-сертифікатом від Let's Encrypt, що забезпечує захист даних користувачів"
3,Наукові публікації,"Університет активно досліджує застосування штучного інтелекту в освіті, що відповідає сучасним тенденціям розвитку ІТ-галузі"
4,Освітня програма,"Програма Комп'ютерні науки включає сучасні технології (Python, SQL, Git, Docker, ML) та розвиває важливі soft-skills"
5,Пошукові системи,"Google демонструє найвищу якість пошукових результатів завдяки кращим алгоритмам ранжування та індексації наукових джерел"
6,Логічні оператори,"Використання операторів пошуку (лапки, AROUND, OR, intitle) значно підвищує точність та релевантність результатів"
7,Достовірність джерел,"Критична оцінка джерел за критеріями авторства, дати, посилань та ознак маніпуляції є необхідною навичкою цифрової грамотності"
8,Онлайн-платформи,"Платформи Coursera, LeetCode, GitHub, freeCodeCamp є незамінними інструментами для самоосвіти студентів комп'ютерних наук"
9,Професійні спільноти,"Участь у спільнотах як Stack Overflow розвиває комунікативні навички та дозволяє обмінюватися досвідом з фахівцями з усього світу"
10,Електронна пошта,"Налаштування двофакторної авторизації та правильне оформлення ділового листування є важливими аспектами інформаційної безпеки та професійної комунікації"

