Параметр,Значення / Інструкція
Тема листа,Лабораторна робота «Інтернет-комунікації»
Отримувач,Електронна адреса викладача
Копія (CC),Власна електронна адреса
Вкладення,PDF-файл (будь-який документ)
Підпис - Ім'я,Ваше ім'я та прізвище
Підпис - Група,Номер групи (напр. КН-21)
Підпис - Email,Ваша електронна адреса
Перевірка орфографії,Увімкнути в налаштуваннях поштового клієнта
Двофакторна авторизація,Налаштувати в розділі Безпека поштового акаунту
Скріншоти для звіту,"1) Форма створення листа з усіма полями 2) Налаштування 2FA"

